detector,f1,precision,recall,runtime_sec,roc_auc,avg_precision,dataset,anomaly_rate
IsolationForest,0.13376835236541598,0.07992202729044834,0.41,0.13843917846679688,0.613,0.08501786592693542,letter,0.0625
LOF,0.27732463295269166,0.16569200779727095,0.85,0.14289307594299316,0.8673666666666666,0.4242705617816078,letter,0.0625
HBOS,0.13050570962479607,0.07797270955165692,0.4,0.02573251724243164,0.5762666666666667,0.07487362241709178,letter,0.0625
COPOD,0.10440456769983687,0.06237816764132553,0.32,0.017218589782714844,0.55962,0.06831897062474712,letter,0.0625
VAE,0.20880913539967375,0.12475633528265107,0.64,7.567203044891357,0.7460600000000001,0.16444405292577935,letter,0.0625
KNN,0.27732463295269166,0.16569200779727095,0.85,0.143096923828125,0.86195,0.2877006998816842,letter,0.0625
MCD,0.2544861337683524,0.15204678362573099,0.78,1.3210954666137695,0.8085600000000001,0.18157058165157672,letter,0.0625
INNE,0.1729200652528548,0.10331384015594541,0.53,0.29381847381591797,0.6732933333333333,0.1612113025034971,letter,0.0625
PCA,0.1272430668841762,0.07602339181286549,0.39,0.013284683227539062,0.5249333333333334,0.07708127768895776,letter,0.0625
DeepSVDD,0.10440456769983687,0.06237816764132553,0.32,0.8848278522491455,0.50796,0.06374290798561517,letter,0.0625
LUNAR,0.2969004893964111,0.17738791423001948,0.91,0.647352933883667,0.8910533333333334,0.3322131199054249,letter,0.0625
LSCP,0.1533442088091354,0.09161793372319688,0.47,3.345947504043579,0.62046,0.08358310787187641,letter,0.0625
IsolationForest,0.09972533276991337,0.05276101050748938,0.9076923076923077,0.21853160858154297,0.8689247811604307,0.24950591775771916,mammography,0.023249575248144506
LOF,0.08755324183625178,0.04625,0.8185840707964602,0.6260919570922852,0.7711809007462456,0.12105060969727806,mammography,0.023249575248144506
HBOS,0.11027811366384523,0.05883870967741935,0.8769230769230769,0.013962507247924805,0.8562394805597223,0.18210557944620376,mammography,0.023249575248144506
COPOD,0.1009930276780055,0.05343170131902526,0.9192307692307692,0.022986173629760742,0.9053320798033788,0.4299504472150996,mammography,0.023249575248144506
VAE,0.10183815761673358,0.05387882852671585,0.926923076923077,52.6421320438385,0.8587034063620167,0.13490379681550566,mammography,0.023249575248144506
KNN,0.09701845716990061,0.05125,0.9070796460176991,0.5905637741088867,0.8349759883092401,0.1574889703720169,mammography,0.023249575248144506
MCD,0.09634481301500106,0.05097250167672703,0.8769230769230769,1.2315239906311035,0.8095384474538553,0.16483323829927307,mammography,0.023249575248144506
INNE,0.20150187734668334,0.1203288490284006,0.6192307692307693,0.6730399131774902,0.7427932591074585,0.1911620225961458,mammography,0.023249575248144506
PCA,0.10479611240228186,0.05544377375363291,0.9538461538461539,0.013503074645996094,0.893842914386721,0.20053399864197918,mammography,0.023249575248144506
DeepSVDD,0.09046849757673667,0.04812177755953843,0.7538461538461538,5.769271612167358,0.7941714378270269,0.1570463396345825,mammography,0.023249575248144506
LUNAR,0.10014789773927742,0.05298457411133468,0.9115384615384615,1.1570091247558594,0.8399460559581406,0.14995036345356938,mammography,0.023249575248144506
LSCP,0.10268328755546165,0.05432595573440644,0.9346153846153846,15.48108434677124,0.8895242220015634,0.2650569593941056,mammography,0.023249575248144506
IsolationForest,0.14674735249621784,0.07918367346938776,1.0,0.18604660034179688,0.9998956902696406,0.9968819190546249,musk,0.03167864141084259
LOF,0.09228441754916793,0.04979591836734694,0.6288659793814433,0.41211366653442383,0.6188904921680778,0.13274429462222187,musk,0.03167864141084259
HBOS,0.14674735249621784,0.07918367346938776,1.0,0.0827939510345459,0.9996279619617183,0.9926073883161511,musk,0.03167864141084259
COPOD,0.14674735249621784,0.07918367346938776,1.0,0.13642096519470215,0.9463395977121398,0.3433436210842759,musk,0.03167864141084259
VAE,0.11043872919818457,0.05959183673469388,0.7525773195876289,15.312326669692993,0.7729455329357974,0.245556232537299,musk,0.03167864141084259
KNN,0.05597579425113464,0.030204081632653063,0.38144329896907214,0.6016957759857178,0.5444272526555518,0.08386792448837285,musk,0.03167864141084259
MCD,0.14674735249621784,0.07918367346938776,1.0,23.493800163269043,1.0,0.9999999999999998,musk,0.03167864141084259
INNE,0.14674735249621784,0.07918367346938776,1.0,0.43259501457214355,0.9851497713878409,0.6451279012073433,musk,0.03167864141084259
PCA,0.14674735249621784,0.07918367346938776,1.0,0.09248232841491699,0.999993046017976,0.999788522062029,musk,0.03167864141084259
DeepSVDD,0.14674735249621784,0.07918367346938776,1.0,2.250725507736206,0.9661862624085117,0.5202216887920259,musk,0.03167864141084259
LUNAR,0.037821482602118005,0.02040816326530612,0.25773195876288657,1.0864737033843994,0.2827628170581179,0.03964240333234813,musk,0.03167864141084259
LSCP,0.14674735249621784,0.07918367346938776,1.0,18.70690107345581,0.9929417082456842,0.9340520371710647,musk,0.03167864141084259
IsolationForest,0.10196779964221825,0.05465004793863854,0.76,0.20643281936645508,0.7333557046979866,0.05105822708235529,optdigits,0.028757668711656442
LOF,0.052772808586762074,0.02828379674017258,0.3933333333333333,0.7834439277648926,0.48246611396236344,0.028660854991571467,optdigits,0.028757668711656442
HBOS,0.12254025044722719,0.06567593480345159,0.9133333333333333,0.04915904998779297,0.8620647453612317,0.17798137134479844,optdigits,0.028757668711656442
COPOD,0.0885509838998211,0.047459252157238736,0.66,0.07100534439086914,0.6823937360178972,0.04219760729066809,optdigits,0.028757668711656442
VAE,0.04114490161001789,0.02205177372962608,0.30666666666666664,32.28996300697327,0.46077510198710353,0.02476605527705763,optdigits,0.028757668711656442
KNN,0.04382826475849732,0.02348993288590604,0.32666666666666666,0.7560484409332275,0.4619463087248323,0.024542570659676306,optdigits,0.028757668711656442
MCD,0.02146690518783542,0.011505273250239693,0.16,1.4786615371704102,0.38026714041321225,0.02109242011472847,optdigits,0.028757668711656442
INNE,0.04740608228980322,0.025407478427612654,0.35333333333333333,0.4805178642272949,0.5353612317410186,0.02786844787995493,optdigits,0.028757668711656442
PCA,0.0,0.0,0.0,0.04081892967224121,0.5,0.028757668711656442,optdigits,0.028757668711656442
DeepSVDD,0.03398926654740608,0.01821668264621285,0.25333333333333335,2.8668742179870605,0.478165548098434,0.024956399997564743,optdigits,0.028757668711656442
LUNAR,0.03309481216457961,0.017737296260786194,0.24666666666666667,1.137333631515503,0.39068824845374395,0.024725003110629362,optdigits,0.028757668711656442
LSCP,0.08497316636851521,0.04554170661553212,0.6333333333333333,26.666666269302368,0.6831109356494275,0.045609447484950584,optdigits,0.028757668711656442
IsolationForest,0.12450119712689545,0.06638297872340425,1.0,0.21818041801452637,0.937040283219908,0.24254817073770205,pendigits,0.022707423580786028
LOF,0.04868316041500399,0.02595744680851064,0.391025641025641,0.7354414463043213,0.5069592432192969,0.042409480215576605,pendigits,0.022707423580786028
HBOS,0.1189146049481245,0.06340425531914894,0.9551282051282052,0.021171092987060547,0.9237929928278453,0.24344694761848645,pendigits,0.022707423580786028
COPOD,0.12290502793296089,0.06553191489361702,0.9871794871794872,0.03493905067443848,0.9048047325527218,0.1823800609694956,pendigits,0.022707423580786028
VAE,0.12130885873902633,0.06468085106382979,0.9743589743589743,39.455108880996704,0.8750868831297786,0.21808446332403753,pendigits,0.022707423580786028
KNN,0.09018355945730247,0.04808510638297872,0.7243589743589743,0.6965558528900146,0.772864107146949,0.09111351327622791,pendigits,0.022707423580786028
MCD,0.12450119712689545,0.06638297872340425,1.0,2.6357741355895996,0.8475640261833292,0.07071952990496227,pendigits,0.022707423580786028
INNE,0.12370311252992817,0.06595744680851064,0.9935897435897436,0.5232162475585938,0.8899104817335379,0.10825989225287687,pendigits,0.022707423580786028
PCA,0.12450119712689545,0.06638297872340425,1.0,0.01764845848083496,0.935711257762196,0.22259014528253085,pendigits,0.022707423580786028
DeepSVDD,0.05985634477254589,0.031914893617021274,0.4807692307692308,3.580484628677368,0.6358775768963437,0.032257381031049165,pendigits,0.022707423580786028
LUNAR,0.06783719074221868,0.036170212765957444,0.5448717948717948,1.1880781650543213,0.6616794795414098,0.057549669888795216,pendigits,0.022707423580786028
LSCP,0.11811652035115722,0.06297872340425532,0.9487179487179487,13.462715864181519,0.913070086997701,0.2293283573540605,pendigits,0.022707423580786028
IsolationForest,0.5176908752327747,0.516728624535316,0.5186567164179104,0.12537002563476562,0.6922835820895522,0.510793292824608,pima,0.3489583333333333
LOF,0.44692737430167595,0.44609665427509293,0.44776119402985076,0.1205744743347168,0.6118656716417912,0.4186948335369789,pima,0.3489583333333333
HBOS,0.5400372439478585,0.5390334572490706,0.5410447761194029,0.013196229934692383,0.7046231343283582,0.5688236295473943,pima,0.3489583333333333
COPOD,0.48789571694599626,0.48698884758364314,0.48880597014925375,0.00847482681274414,0.6540149253731344,0.5253573473819029,pima,0.3489583333333333
VAE,0.5065176908752328,0.5055762081784386,0.5074626865671642,3.621208429336548,0.6876268656716418,0.5253053573377442,pima,0.3489583333333333
KNN,0.5512104283054003,0.550185873605948,0.5522388059701493,0.12308573722839355,0.7109626865671641,0.532097719490497,pima,0.3489583333333333
MCD,0.5176908752327747,0.516728624535316,0.5186567164179104,0.3614952564239502,0.681223880597015,0.48950689529830405,pima,0.3489583333333333
INNE,0.5027932960893855,0.5018587360594795,0.503731343283582,0.15982723236083984,0.6615,0.47501271909344067,pima,0.3489583333333333
