dataset,k,f1,precision,recall,roc_auc,avg_precision,rho_hat,runtime_sec
letter,8,0.21621621621621623,0.14814814814814814,0.4,0.7381599999999999,0.1487548874425441,0.3206209787977944,16.028027534484863
mammography,4,0.08784510577267839,0.046069951109439636,0.9423076923076923,0.8874558975767436,0.2724962367075249,0.4,58.07945990562439
mammography,5,0.0962714539356875,0.05073819920981493,0.9384615384615385,0.8874558975767436,0.2724962367075249,0.4,61.27023386955261
mammography,6,0.1085623438564615,0.05768766594255371,0.9192307692307692,0.8874558975767436,0.2724962367075249,0.4,97.39438271522522
mammography,7,0.12372790573111944,0.06649395509499137,0.8884615384615384,0.8874558975767436,0.2724962367075249,0.4,93.41902446746826
mammography,8,0.14460217893694288,0.0790899241603467,0.8423076923076923,0.8874558975767436,0.2724962367075249,0.4,95.35862302780151
musk,4,0.11305361305361306,0.05991352686843731,1.0,0.9999061212426765,0.997181856932668,0.4,40.66946363449097
musk,5,0.13090418353576247,0.07003610108303249,1.0,0.9999061212426765,0.997181856932668,0.4,42.66213417053223
musk,6,0.15073815073815075,0.08151260504201681,1.0,0.9999061212426765,0.997181856932668,0.4,44.5223126411438
musk,7,0.17896678966789667,0.09827760891590678,1.0,0.9999061212426765,0.997181856932668,0.4,41.97396731376648
musk,8,0.23017902813299232,0.13138686131386862,0.9278350515463918,0.9999061212426765,0.997181856932668,0.4,41.71385955810547
optdigits,4,0.06264323911382735,0.03322528363047002,0.5466666666666666,0.6285379655217792,0.03593293614075251,0.4,37.13960313796997
optdigits,5,0.05716837874050915,0.030636668262326472,0.4266666666666667,0.6285379655217792,0.03593293614075251,0.4,30.404803037643433
optdigits,6,0.05460385438972163,0.029685681024447033,0.34,0.6285379655217792,0.03593293614075251,0.4,31.083418369293213
optdigits,7,0.049738219895287955,0.027576197387518143,0.25333333333333335,0.6285379655217792,0.03593293614075251,0.4,31.3217191696167
optdigits,8,0.041237113402061855,0.023668639053254437,0.16,0.6285379655217792,0.03593293614075251,0.4,48.50427460670471
pendigits,4,0.10051546391752578,0.052917232021709636,1.0,0.9198221473690643,0.2250333519460362,0.342065062705394,40.85961055755615
pendigits,5,0.11585592276271815,0.06148994875837603,1.0,0.9198221473690643,0.2250333519460362,0.342065062705394,40.73087668418884
pendigits,6,0.13164556962025317,0.07046070460704607,1.0,0.9198221473690643,0.2250333519460362,0.342065062705394,38.59205436706543
pendigits,7,0.15592203898050974,0.08455284552845528,1.0,0.9198221473690643,0.2250333519460362,0.342065062705394,40.360480070114136
pendigits,8,0.18372379778051787,0.10163710777626193,0.9551282051282052,0.9198221473690643,0.2250333519460362,0.342065062705394,40.65208292007446
pima,4,0.5500848896434635,0.5046728971962616,0.6044776119402985,0.6839925373134328,0.503226456756543,0.3502240917409587,7.701132535934448
pima,5,0.5276292335115864,0.5051194539249146,0.5522388059701493,0.6839925373134328,0.503226456756543,0.3502240917409587,7.438773155212402
pima,6,0.5168539325842697,0.518796992481203,0.5149253731343284,0.6839925373134328,0.503226456756543,0.3502240917409587,7.766321659088135
pima,7,0.4819277108433735,0.5217391304347826,0.44776119402985076,0.6839925373134328,0.503226456756543,0.3502240917409587,8.454248428344727
pima,8,0.45161290322580644,0.5329949238578681,0.3917910447761194,0.6839925373134328,0.503226456756543,0.3502240917409587,7.91980767250061
satellite,4,0.6277025421715372,0.6079153244362633,0.6488212180746562,0.7254934033498415,0.7076212814634141,0.2540019154187548,66.28383207321167
satellite,5,0.6495412844036698,0.6964586846543002,0.6085461689587426,0.7254934033498415,0.7076212814634141,0.2540019154187548,37.80141997337341
satellite,6,0.6483734087694484,0.7645096731154103,0.56286836935167,0.7254934033498415,0.7076212814634141,0.2540019154187548,52.98096704483032
satellite,7,0.5903195191395129,0.8293333333333334,0.4582514734774067,0.7254934033498415,0.7076212814634141,0.2540019154187548,39.16675019264221
satellite,8,0.47883315546069016,0.8683870967741936,0.3305500982318271,0.7254934033498415,0.7076212814634141,0.2540019154187548,39.98073387145996
satimage-2,4,0.09027336300063572,0.04727030625832224,1.0,0.9971963673176534,0.8669914098504538,0.18772464287874877,35.455260276794434
satimage-2,5,0.11862990810359231,0.0630550621669627,1.0,0.9971963673176534,0.8669914098504538,0.18772464287874877,42.2901930809021
satimage-2,6,0.15795328142380421,0.08574879227053141,1.0,0.9971963673176534,0.8669914098504538,0.18772464287874877,34.792564153671265
satimage-2,7,0.23608768971332209,0.13409961685823754,0.9859154929577465,0.9971963673176534,0.8669914098504538,0.18772464287874877,35.6833815574646
satimage-2,8,0.3465346534653465,0.21021021021021022,0.9859154929577465,0.9971963673176534,0.8669914098504538,0.18772464287874877,53.11714196205139
speech,4,0.027895694360218316,0.014483627204030227,0.3770491803278688,0.48539966082532504,0.02076582527446015,0.4,116.89522361755371
