f1,auroc,auprc,dataset,combo,n_detectors
0.06060606060606061,0.35777777777777775,0.09343410171235922,vertebral,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.1419141914191419,0.880213371266003,0.23426019415304308,vowels,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.40860215053763443,0.9470454848606109,0.5177344405125018,wbc,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.35714285714285715,0.8756302521008402,0.26291391357180827,wine,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.29577464788732394,0.8351739668348857,0.29644427736446993,annthyroid,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.4630541871921182,0.8008714083843618,0.415753089310598,arrhythmia,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.9210019267822736,0.9842436578838252,0.9630010323141235,breastw,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.3875432525951557,0.9131969239219994,0.4869979973035322,cardio,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.08,0.726829268292683,0.09327076608509588,glass,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.7272727272727273,0.9046913580246914,0.891191943105304,ionosphere,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.20549927641099855,0.7415533333333333,0.15517875540681572,letter,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.5,0.9953051643192489,0.9166666666666665,lympho,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.15014792899408283,0.8519197318290973,0.25707266980070015,mammography,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.3178187827044891,0.7880076985161731,0.2749258316808244,mnist,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.8940092165898618,0.9999860920359521,0.9995813383147696,musk,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.057087566521528785,0.6552033162258192,0.03956181811967295,optdigits,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.12293144208037825,0.9189208542425701,0.16952378217491576,pendigits,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.4893203883495146,0.6815970149253732,0.4922990036140108,pima,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.6658959537572254,0.7476565266887322,0.7209824369831022,satellite,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.1504237288135593,0.9961102975143252,0.7675827816415336,satimage-2,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.028368794326241134,0.4847213114754099,0.020123494721142412,speech,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.12696245733788397,0.9731138954893657,0.4849745161953387,thyroid,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.07058823529411765,0.3833333333333333,0.09776210428305207,vertebral,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.14310051107325383,0.8687766714082503,0.22982242424067534,vowels,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.38636363636363635,0.9483793517406962,0.5291917279317365,wbc,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.3448275862068966,0.8773109243697479,0.2742787558577032,wine,IsolationForest+INNE+LOF+KNN+HBOS+MCD+DeepSVDD,7
0.29183135704874835,0.8343873713214017,0.28673681421384817,annthyroid,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.4485981308411215,0.8040901240383106,0.42765819309716524,arrhythmia,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.9174664107485605,0.9841776923366882,0.9612391805427983,breastw,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.3672055427251732,0.9036253776435045,0.46479469667509254,cardio,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.13793103448275862,0.7685636856368564,0.10972073801832744,glass,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.6595744680851063,0.9190476190476191,0.9112948714815612,ionosphere,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.23011363636363635,0.7999933333333333,0.19737340329893946,letter,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.3870967741935484,0.9929577464788732,0.8857142857142857,lympho,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.1102868447082097,0.8547600687328784,0.24057039666500085,mammography,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.31984478935698446,0.7960290556900727,0.2820257212169965,mnist,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.1592775041050903,0.9990264425166461,0.9732791605479486,musk,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.05968688845401174,0.6343900513225424,0.0374827007475632,optdigits,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.11773700305810397,0.902672754214309,0.1641606026267643,pendigits,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.5364120781527532,0.6946268656716418,0.5164514718292887,pima,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.63509272467903,0.7608538464939566,0.7084550499221527,satellite,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.11784232365145228,0.9963339001208928,0.765049711916455,satimage-2,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.029543994861913937,0.4944850197851894,0.02550729792703864,speech,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.14006024096385541,0.9702876249097611,0.4184768322615764,thyroid,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.02702702702702703,0.3573015873015873,0.09348586873685977,vertebral,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.17325800376647835,0.923769559032717,0.3475597654481329,vowels,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.4,0.9461117780445512,0.5271231611551368,wbc,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.32786885245901637,0.8462184873949579,0.215278095047243,wine,IsolationForest+INNE+LOF+KNN+HBOS+MCD+LUNAR,7
0.26609747420846674,0.8248122565065497,0.2562531638486405,annthyroid,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.4891304347826087,0.8049929345266134,0.4416740772728209,arrhythmia,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.9224806201550387,0.9894360888084738,0.9782398395795422,breastw,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.40045766590389015,0.9213814886020323,0.5429147991677258,cardio,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.12987012987012986,0.7105691056910569,0.09373564391787646,glass,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.7058823529411765,0.874074074074074,0.8436409552117053,ionosphere,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.16091954022988506,0.6948266666666667,0.12154181672506587,letter,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.5,0.9953051643192489,0.9333333333333333,lympho,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.10710284561953842,0.8781450925710744,0.294124069165957,mammography,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.2889109895574341,0.7906227106227106,0.26594140773921504,mnist,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.15215686274509804,0.9999339371707724,0.9980569856590291,musk,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.08787494719053654,0.6680602710883011,0.041896739935616226,optdigits,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.11576994434137292,0.9303712869396517,0.24789664633532843,pendigits,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.537261698440208,0.6865597014925373,0.5193986873560141,pima,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.5994202898550725,0.7183866131389927,0.6906917442033449,satellite,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.1346153846153846,0.9964174439519181,0.9054662637812305,satimage-2,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.02711426726920594,0.48310231769361217,0.021519988483230005,speech,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.15422885572139303,0.9662484253844108,0.3773422562603015,thyroid,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.1,0.35063492063492063,0.09230613357643995,vertebral,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.1237785016286645,0.8355192034139401,0.183982609866739,vowels,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.38636363636363635,0.9538482059490463,0.5902279496578191,wbc,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.38461538461538464,0.8478991596638655,0.22753365338159953,wine,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+PCA,7
0.26556016597510373,0.8224238154152493,0.25897120606201396,annthyroid,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+VAE,7
0.4731182795698925,0.8052677029360967,0.4303041675109342,arrhythmia,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+VAE,7
0.9136276391554703,0.9877209845829092,0.972515031482501,breastw,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+VAE,7
0.3887640449438202,0.9130801977478714,0.5148979887768144,cardio,IsolationForest+INNE+LOF+KNN+HBOS+COPOD+VAE,7
