dataset,scheme,k,f1,precision,recall,roc_auc,avg_precision,rho_hat,runtime_sec
ionosphere,agreement,6,0.694300518134715,1.0,0.5317460317460317,0.8924162257495591,0.8706990639692372,0.21057616387485875,4.0328826904296875
ionosphere,ncl,6,0.694300518134715,1.0,0.5317460317460317,0.8913932980599647,0.8697852172636693,0.21057616387485875,3.035621166229248
letter,em,6,0.20934579439252338,0.12873563218390804,0.56,0.7381599999999999,0.1487548874425441,0.3206209787977944,17.194709300994873
letter,equal,6,0.21333333333333335,0.13176470588235295,0.56,0.7513733333333333,0.1573193394311222,0.3206209787977944,15.980087757110596
letter,agreement,6,0.19593345656192238,0.12018140589569161,0.53,0.72506,0.14222490612138436,0.3206209787977944,12.708493947982788
letter,ncl,6,0.1970260223048327,0.12100456621004566,0.53,0.72504,0.14262961614815586,0.3206209787977944,13.187330484390259
mammography,em,6,0.10064462466209191,0.05319850516597054,0.9307692307692308,0.8874558975767436,0.2724962367075249,0.4,73.56639504432678
mammography,equal,6,0.1085623438564615,0.05768766594255371,0.9192307692307692,0.8778174494186579,0.27902460794818823,0.4,98.15613269805908
mammography,agreement,6,0.13262599469496023,0.07181615065432492,0.8653846153846154,0.8196776033634039,0.3459299591017893,0.4,95.76248383522034
mammography,ncl,6,0.14807370184254606,0.08110091743119266,0.85,0.8172987133712208,0.3494516123709237,0.4,75.5499656200409
musk,em,6,0.14520958083832336,0.07828894269572235,1.0,0.9999061212426765,0.997181856932668,0.4,42.39710354804993
musk,equal,6,0.15073815073815075,0.08151260504201681,1.0,0.9997531336381495,0.9925635185926481,0.4,42.09183883666992
musk,agreement,6,0.16288832913518053,0.0886654478976234,1.0,0.9997635646111854,0.9928289045804395,0.4,41.98989820480347
musk,ncl,6,0.16972878390201224,0.09273422562141491,1.0,0.9997148867370178,0.9912959016497517,0.4,42.771358251571655
optdigits,em,6,0.05536992840095466,0.02982005141388175,0.38666666666666666,0.6285379655217792,0.03593293614075251,0.4,32.11432385444641
